"incident_count","year_value","month_value","weapon_desc","total_incidents_by_year","avg_incidents_by_month"
1,2022,3,"ASPHYXIATION ",3,1.0
1,2022,2,"ASPHYXIATION ",3,1.0
1,2022,1,"ASPHYXIATION ",3,1.0
1,2021,8,"ASPHYXIATION ",5,1.25
1,2021,7,"ASPHYXIATION ",5,1.25
2,2021,6,"ASPHYXIATION ",5,1.25
1,2021,3,"ASPHYXIATION ",5,1.25
1,2020,12,"ASPHYXIATION ",2,1.0
1,2020,4,"ASPHYXIATION ",2,1.0
1,2019,8,"ASPHYXIATION ",4,1.0
1,2019,7,"ASPHYXIATION ",4,1.0
1,2019,6,"ASPHYXIATION ",4,1.0
1,2019,4,"ASPHYXIATION ",4,1.0
1,2018,8,"ASPHYXIATION ",3,1.0
1,2018,6,"ASPHYXIATION ",3,1.0
1,2018,5,"ASPHYXIATION ",3,1.0
1,2017,10,"ASPHYXIATION ",3,1.0
1,2017,5,"ASPHYXIATION ",3,1.0
1,2017,4,"ASPHYXIATION ",3,1.0
2,2016,8,"ASPHYXIATION ",8,1.6
1,2016,4,"ASPHYXIATION ",8,1.6
1,2016,3,"ASPHYXIATION ",8,1.6
1,2016,2,"ASPHYXIATION ",8,1.6
3,2016,1,"ASPHYXIATION ",8,1.6
1,2015,12,"ASPHYXIATION ",17,1.8888888888888888
1,2015,11,"ASPHYXIATION ",17,1.8888888888888888
3,2015,9,"ASPHYXIATION ",17,1.8888888888888888
3,2015,7,"ASPHYXIATION ",17,1.8888888888888888
2,2015,5,"ASPHYXIATION ",17,1.8888888888888888
1,2015,4,"ASPHYXIATION ",17,1.8888888888888888
1,2015,3,"ASPHYXIATION ",17,1.8888888888888888
3,2015,2,"ASPHYXIATION ",17,1.8888888888888888
2,2015,1,"ASPHYXIATION ",17,1.8888888888888888
183,2022,5,"BLUNT OBJECT",1829,365.8
392,2022,4,"BLUNT OBJECT",1829,365.8
379,2022,3,"BLUNT OBJECT",1829,365.8
412,2022,2,"BLUNT OBJECT",1829,365.8
463,2022,1,"BLUNT OBJECT",1829,365.8
435,2021,12,"BLUNT OBJECT",4095,341.25
386,2021,11,"BLUNT OBJECT",4095,341.25
421,2021,10,"BLUNT OBJECT",4095,341.25
335,2021,9,"BLUNT OBJECT",4095,341.25
365,2021,8,"BLUNT OBJECT",4095,341.25
419,2021,7,"BLUNT OBJECT",4095,341.25
331,2021,6,"BLUNT OBJECT",4095,341.25
281,2021,5,"BLUNT OBJECT",4095,341.25
253,2021,4,"BLUNT OBJECT",4095,341.25
221,2021,3,"BLUNT OBJECT",4095,341.25
243,2021,2,"BLUNT OBJECT",4095,341.25
405,2021,1,"BLUNT OBJECT",4095,341.25
452,2020,12,"BLUNT OBJECT",4654,387.8333333333333
444,2020,11,"BLUNT OBJECT",4654,387.8333333333333
478,2020,10,"BLUNT OBJECT",4654,387.8333333333333
368,2020,9,"BLUNT OBJECT",4654,387.8333333333333
547,2020,8,"BLUNT OBJECT",4654,387.8333333333333
445,2020,7,"BLUNT OBJECT",4654,387.8333333333333
402,2020,6,"BLUNT OBJECT",4654,387.8333333333333
319,2020,5,"BLUNT OBJECT",4654,387.8333333333333
253,2020,4,"BLUNT OBJECT",4654,387.8333333333333
302,2020,3,"BLUNT OBJECT",4654,387.8333333333333
326,2020,2,"BLUNT OBJECT",4654,387.8333333333333
318,2020,1,"BLUNT OBJECT",4654,387.8333333333333
286,2019,12,"BLUNT OBJECT",3444,287.0
240,2019,11,"BLUNT OBJECT",3444,287.0
420,2019,10,"BLUNT OBJECT",3444,287.0
278,2019,9,"BLUNT OBJECT",3444,287.0
353,2019,8,"BLUNT OBJECT",3444,287.0
320,2019,7,"BLUNT OBJECT",3444,287.0
357,2019,6,"BLUNT OBJECT",3444,287.0
241,2019,5,"BLUNT OBJECT",3444,287.0
267,2019,4,"BLUNT OBJECT",3444,287.0
248,2019,3,"BLUNT OBJECT",3444,287.0
205,2019,2,"BLUNT OBJECT",3444,287.0
229,2019,1,"BLUNT OBJECT",3444,287.0
248,2018,12,"BLUNT OBJECT",2709,225.75
232,2018,11,"BLUNT OBJECT",2709,225.75
248,2018,10,"BLUNT OBJECT",2709,225.75
239,2018,9,"BLUNT OBJECT",2709,225.75
231,2018,8,"BLUNT OBJECT",2709,225.75
241,2018,7,"BLUNT OBJECT",2709,225.75
223,2018,6,"BLUNT OBJECT",2709,225.75
245,2018,5,"BLUNT OBJECT",2709,225.75
205,2018,4,"BLUNT OBJECT",2709,225.75
201,2018,3,"BLUNT OBJECT",2709,225.75
191,2018,2,"BLUNT OBJECT",2709,225.75
205,2018,1,"BLUNT OBJECT",2709,225.75
213,2017,12,"BLUNT OBJECT",2874,239.5
230,2017,11,"BLUNT OBJECT",2874,239.5
312,2017,10,"BLUNT OBJECT",2874,239.5
262,2017,9,"BLUNT OBJECT",2874,239.5
278,2017,8,"BLUNT OBJECT",2874,239.5
266,2017,7,"BLUNT OBJECT",2874,239.5
219,2017,6,"BLUNT OBJECT",2874,239.5
276,2017,5,"BLUNT OBJECT",2874,239.5
230,2017,4,"BLUNT OBJECT",2874,239.5
206,2017,3,"BLUNT OBJECT",2874,239.5
180,2017,2,"BLUNT OBJECT",2874,239.5
202,2017,1,"BLUNT OBJECT",2874,239.5
175,2016,12,"BLUNT OBJECT",2716,226.33333333333334
203,2016,11,"BLUNT OBJECT",2716,226.33333333333334
270,2016,10,"BLUNT OBJECT",2716,226.33333333333334
245,2016,9,"BLUNT OBJECT",2716,226.33333333333334
252,2016,8,"BLUNT OBJECT",2716,226.33333333333334
247,2016,7,"BLUNT OBJECT",2716,226.33333333333334
221,2016,6,"BLUNT OBJECT",2716,226.33333333333334
240,2016,5,"BLUNT OBJECT",2716,226.33333333333334
252,2016,4,"BLUNT OBJECT",2716,226.33333333333334
240,2016,3,"BLUNT OBJECT",2716,226.33333333333334
176,2016,2,"BLUNT OBJECT",2716,226.33333333333334
195,2016,1,"BLUNT OBJECT",2716,226.33333333333334
226,2015,12,"BLUNT OBJECT",2858,238.16666666666666
260,2015,11,"BLUNT OBJECT",2858,238.16666666666666
